  [6] 13950/19277 (72%) loss=3.5951 ppl=36.4 lr=3.91e-05 | 23734 tok/s (avg 23582) ETA 23m07s | GPU 1.9/20.1GB | gtok=677904384
  [6] 14000/19277 (73%) loss=3.5754 ppl=35.7 lr=3.90e-05 | 23736 tok/s (avg 23583) ETA 22m54s | GPU 1.9/20.1GB | gtok=678211584
  [6] 14050/19277 (73%) loss=3.9436 ppl=51.6 lr=3.90e-05 | 23733 tok/s (avg 23583) ETA 22m41s | GPU 1.9/20.1GB | gtok=678518784
  [6] 14100/19277 (73%) loss=3.0162 ppl=20.4 lr=3.90e-05 | 23732 tok/s (avg 23584) ETA 22m28s | GPU 1.9/20.1GB | gtok=678825984
  [6] 14150/19277 (73%) loss=3.3023 ppl=27.2 lr=3.89e-05 | 23734 tok/s (avg 23585) ETA 22m15s | GPU 1.9/20.1GB | gtok=679133184
  [6] 14200/19277 (74%) loss=3.7051 ppl=40.7 lr=3.89e-05 | 23735 tok/s (avg 23585) ETA 22m02s | GPU 1.9/20.1GB | gtok=679440384
  [6] 14250/19277 (74%) loss=3.6022 ppl=36.7 lr=3.88e-05 | 23737 tok/s (avg 23586) ETA 21m49s | GPU 1.9/20.1GB | gtok=679747584
  [6] 14300/19277 (74%) loss=3.7747 ppl=43.6 lr=3.88e-05 | 23736 tok/s (avg 23586) ETA 21m36s | GPU 1.9/20.1GB | gtok=680054784
  [6] 14350/19277 (74%) loss=3.3703 ppl=29.1 lr=3.88e-05 | 23736 tok/s (avg 23587) ETA 21m23s | GPU 1.9/20.1GB | gtok=680361984
  [6] 14400/19277 (75%) loss=3.2783 ppl=26.5 lr=3.87e-05 | 23736 tok/s (avg 23587) ETA 21m10s | GPU 1.9/20.1GB | gtok=680669184
  [6] 14450/19277 (75%) loss=3.5873 ppl=36.1 lr=3.87e-05 | 23734 tok/s (avg 23588) ETA 20m57s | GPU 1.9/20.1GB | gtok=680976384
