[2026-05-09 07:20:24]   [1] batch 649/19277 loss=6.0535 ppl=425.6 div=1.92e-02 wdiv=9.62e-04 lr=1.00e-04 | inst 12233 tok/s avg 10569 tok/s |   3.4% eta 2:35:55 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:20:49]   [1] batch 699/19277 loss=6.2062 ppl=495.8 div=1.90e-02 wdiv=9.51e-04 lr=1.00e-04 | inst 12098 tok/s avg 10665 tok/s |   3.6% eta 2:37:14 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:21:14]   [1] batch 749/19277 loss=5.9174 ppl=371.4 div=1.91e-02 wdiv=9.54e-04 lr=1.00e-04 | inst 12233 tok/s avg 10757 tok/s |   3.9% eta 2:35:05 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:21:39]   [1] batch 799/19277 loss=6.1326 ppl=460.6 div=1.94e-02 wdiv=9.71e-04 lr=1.00e-04 | inst 12376 tok/s avg 10846 tok/s |   4.2% eta 2:32:52 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:22:05]   [1] batch 849/19277 loss=5.8292 ppl=340.1 div=1.93e-02 wdiv=9.65e-04 lr=1.00e-04 | inst 12091 tok/s avg 10912 tok/s |   4.4% eta 2:36:03 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:22:30]   [1] batch 899/19277 loss=6.2680 ppl=527.4 div=1.90e-02 wdiv=9.50e-04 lr=1.00e-04 | inst 12225 tok/s avg 10977 tok/s |   4.7% eta 2:33:56 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:22:55]   [1] batch 949/19277 loss=6.0889 ppl=440.9 div=1.83e-02 wdiv=9.16e-04 lr=1.00e-04 | inst 12232 tok/s avg 11037 tok/s |   4.9% eta 2:33:25 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:23:20]   [1] batch 999/19277 loss=6.0187 ppl=411.0 div=1.89e-02 wdiv=9.45e-04 lr=1.00e-04 | inst 12105 tok/s avg 11086 tok/s |   5.2% eta 2:34:36 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:23:45]   [1] batch 1049/19277 loss=5.9783 ppl=394.8 div=1.95e-02 wdiv=9.77e-04 lr=1.00e-04 | inst 12233 tok/s avg 11135 tok/s |   5.4% eta 2:32:34 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:24:10]   [1] batch 1099/19277 loss=6.1312 ppl=460.0 div=1.85e-02 wdiv=9.27e-04 lr=1.00e-04 | inst 12230 tok/s avg 11181 tok/s |   5.7% eta 2:32:11 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:24:36]   [1] batch 1149/19277 loss=6.1833 ppl=484.6 div=1.85e-02 wdiv=9.27e-04 lr=1.00e-04 | inst 12228 tok/s avg 11223 tok/s |   6.0% eta 2:31:47 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:25:01]   [1] batch 1199/19277 loss=6.0792 ppl=436.7 div=1.86e-02 wdiv=9.28e-04 lr=1.00e-04 | inst 12231 tok/s avg 11261 tok/s |   6.2% eta 2:31:20 | mem 2.1/21.0G peak 21.0G
