[2026-04-15 00:26:26] Wall clock start: 2026-04-15 00:26:26
[2026-04-15 00:26:26] ============================================================
[2026-04-15 00:26:26]   Transformer Baseline (~100M params)
[2026-04-15 00:26:26]   GPT-2-style decoder-only transformer
[2026-04-15 00:26:26]   Same data pipeline as PAM v3 for fair comparison
[2026-04-15 00:26:26] ============================================================
[2026-04-15 00:26:26] Architecture: d_model=136, n_layers=13, n_heads=2, d_ff=544
[2026-04-15 00:26:26] seq_len=512, dropout=0.1, tie_weights=True
[2026-04-15 00:26:26] Training: lr=0.0003, warmup=500, wd=0.01, grad_clip=1.0
[2026-04-15 00:26:26] Batch size: 8, Epochs: 10
[2026-04-15 00:26:26] AMP

Loading WikiText-103 
[2026-04-15 00:26:26] Loadi
/Users/caug/npcww/qnlp/qllm-private/.venv/li[2026-04-15 00:26:28] [cache] Loaded WikiText-103 train from .cache/v6_tokens/wikitext103_train_v2_full_sl512.pt (118,496,145 tokens)
[2026-04-15 00:26:28] [cache] Loaded WikiText-103 validation from .cache/v6_tokens/wikitext103_validation_v2_full_sl512.pt (248,461 tokens)
[2026-04-15 00:26:28] Train chunks: 230986, Val chunks: 484
[2026-04-15 00:26:28] Train batches: 28874, Val batches: 61

[2026-04-15 00:26:28] Model parameters: {'embeddings': 6904584, 'transformer_blocks': 2908360, 'final_ln': 272, 'lm_head': 0, 'total': 9813216}
[2026-04-15 00:26:28] Total: 9,813,216 (9.8M)
[2026-04-15 00:26:28] Param groups: 52 tensors (2,885,376 params) with weight decay, 108 tensors (6,927,840 params) without

[2026-04-15 00:26:28] Training on mps
[2026-04-15 00:26:28] Parameters: {'embeddings': 6904584, 'transformer_blocks': 2908360, 'final_ln': 272, 'lm_head': 0, 'total': 9813216}
[2026-04-15 00:26:28] Total: 9,813,216 (9.8M)
[2026-04-15 00:26:28] Epochs: 1..10, Batches/epoch: 2887



[2026-04-15 00:26:28] =====================================
Epoch 1/10
=============================================[2026-04-15 00:
  [1] 1500/28874 (5%) loss=6.2438 ppl=514.8 lr=3.00e-04 | 8287 tok/s (avg 12300) ETA 151m55s | gtok=6148096
  [1] 1550/28874 (5%) loss=6.3543 ppl=575.0 lr=3.00e-04 | 8255 tok/s (avg 12109) ETA 154m02s | gtok=6352896
  [1] 1600/28874 (6%) loss=6.0293 ppl=415.4 lr=3.00e-04 | 8289 tok/s (avg 11937) ETA 155m58s | gtok=6557696
  [1] 1650/28874 (6%) loss=6.2041 ppl=494.8 lr=3.00e-04 | 8578 tok/s (avg 11797) ETA 157m31s | gtok=6762496
  [1] 1700/28874 (6%) loss=6.1675 ppl=477.0 lr=3.00e-04 | 8669 tok/s (avg 11674) ETA 158m54s | gtok=6967296
  [1] 1750/28874 (6%) loss=5.9629 ppl=388.7 lr=3.00e-04 | 8261 tok/s (avg 11537) ETA 160m29s | gtok=7172096
  [1] 1800/28874 (6%) loss=5.9553 ppl=385.8 lr=3.00e-04 | 8412 tok/s (avg 11420) ETA 161m50s | gtok=7376896
  [1] 1850/28874 (6%) loss=5.9320 ppl=376.9 lr=3.00e-04 | 8554 tok/s (avg 11317) ETA 163m00s | gtok=7581696
  [1] 1900/28874 (7%) loss=5.9501 ppl=383.8 lr=3.00e-04 | 8479 tok/s (avg 11218) ETA 164m08s | gtok=7786496
  [1] 1950/28874 (7%) loss=5.8545 ppl=348.8 lr=3.00e-04 | 8361 tok/s (avg 11121) ETA 165m16s | gtok=7991296
  [1] 2000/28874 (7%) loss=5.7628 ppl=318.2 lr=3.00e-04 | 8375 tok/s (avg 11031) ETA 166m18s | gtok=8196096
  [1] 2050/28874 (7%) loss=6.1707 ppl=478.5 lr=3.00e-04 | 8437 tok/s (avg 10948) ETA 167m14s | gtok=8400896
  [1] 2100/28874 (7%) loss=6.2782 ppl=532.8 lr=3.00e-04 | 8552 tok/s (avg 10876) ETA 168m03s | gtok=8605696
  [1] 2150/28874 (7%) loss=5.8168 ppl=335.9 lr=3.00e-04 | 8384 tok/s (avg 10801) ETA 168m53s | gtok=8810496
  [1] 2200/28874 (8%) loss=6.0814 ppl=437.6 lr=3.00e-04 | 8402 tok/s (avg 10732) ETA 169m40s | gtok=9015296
  [1] 2250/28874 (8%) loss=5.9566 ppl=386.3 lr=3.00e-04 | 8417 tok/s (avg 10666) ETA 170m23s | gtok=9220096
  [1] 2300/28874 (8%) loss=5.7353 ppl=309.6 lr=3.00e-04 | 8286 tok/s (avg 10600) ETA 171m07s | gtok=9424896
  [1] 2350/28874 (8%) loss=5.6190 ppl=275.6 lr=3.00e-04 | 8374 tok/s (avg 10541) ETA 171m46s | gtok=9629696
  [1] 2400/28874 (8%) loss=5.8213 ppl=337.4 lr=3.00e-04 | 8438 tok/s (avg 10486) ETA 172m20s | gtok=9834496
  [1] 2450/28874 (8%) loss=5.8169 ppl=335.9 lr=3.00e-04 | 8429 tok/s (avg 10434) ETA 172m52s | gtok=10039296
  [1] 2500/28874 (9%) loss=5.6717 ppl=290.5 lr=3.00e-04 | 8455 tok/s (avg 10386) ETA 173m21s | gtok=10244096
  [1] 2550/28874 (9%) loss=5.8244 ppl=338.5 lr=3.00e-04 | 8689 tok/s (avg 10346) ETA 173m41s | gtok=10448896
  [1] 2600/28874 (9%) loss=5.8288 ppl=339.9 lr=3.00e-04 | 8360 tok/s (avg 10299) ETA 174m08s | gtok=10653696
  [1] 2650/28874 (9%) loss=5.8515 ppl=347.8 lr=3.00e-04 | 8374 tok/s (avg 10255) ETA 174m34s | gtok=10858496
