device=cuda preset=baseline dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 100,359,008 (100.36M)
step 138  loss=6.5126  lr=5.00e-05
step 139  loss=6.6698  lr=5.00e-05
step 140  loss=6.4682  lr=5.00e-05
step 141  loss=6.5722  lr=5.00e-05
step 142  loss=6.6172  lr=5.00e-05
step 143  loss=6.3535  lr=5.00e-05
step 144  loss=6.6117  lr=5.00e-05
step 145  loss=6.5171  lr=5.00e-05
step 146  loss=6.5474  lr=5.00e-05
step 147  loss=6.3722  lr=5.00e-05
step 148  loss=6.5337  lr=5.00e-05
step 149  loss=6.3286  lr=5.00e-05
step 150  loss=6.2290  lr=5.00e-05
step 151  loss=6.2460  lr=5.00e-05
step 152  loss=6.1104  lr=5.00e-05
step 153  loss=6.1779  lr=5.00e-05
step 154  loss=6.0331  lr=5.00e-05
step 155  loss=6.2560  lr=5.00e-05
step 156  loss=6.2155  lr=5.00e-05
step 157  loss=6.1514  lr=5.00e-05
step 158  loss=5.9937  lr=5.00e-05
step 159  loss=5.9253  lr=5.00e-05
step 160  loss=6.0787  lr=5.00e-05
step 161  loss=5.9468  lr=5.00e-05
step 162  loss=6.1879  lr=5.00e-05
step 163  loss=6.0044  lr=5.00e-05
step 164  loss=5.8785  lr=5.00e-05
step 165  loss=5.8492  lr=5.00e-05
step 166  loss=5.8337  lr=5.00e-05
step 167  loss=5.7469  lr=5.00e-05
step 168  loss=5.7558  lr=5.00e-05
step 169  loss=5.8969  lr=5.00e-05
step 170  loss=5.6468  lr=5.00e-05
step 171  loss=5.7900  lr=5.00e-05
step 172  loss=5.7405  lr=5.00e-05
step 173  loss=5.6734  lr=5.00e-05
step 174  loss=5.6217  lr=5.00e-05
step 175  loss=5.7809  lr=5.00e-05
step 176  loss=5.4927  lr=5.00e-05
step 177  loss=5.8107  lr=5.00e-05
step 178  loss=5.7342  lr=5.00e-05
step 179  loss=5.6268  lr=5.00e-05
step 180  loss=5.5647  lr=5.00e-05
step 181  loss=5.6883  lr=5.00e-05
step 182  loss=5.7202  lr=5.00e-05
step 183  loss=5.5201  lr=5.00e-05
step 184  loss=5.4631  lr=5.00e-05
step 185  loss=5.4204  lr=5.00e-05
step 186  loss=5.6794  lr=5.00e-05
step 187  loss=5.3608  lr=5.00e-05
step 188  loss=5.6942  lr=5.00e-05
step 189  loss=5.4606  lr=5.00e-05
step 190  loss=5.5422  lr=5.00e-05
step 191  loss=5.5464  lr=5.00e-05
step 192  loss=5.4703  lr=5.00e-05
step 193  loss=5.2693  lr=5.00e-05
step 194  loss=5.0165  lr=5.00e-05
step 195  loss=5.2213  lr=5.00e-05
step 196  loss=5.2726  lr=5.00e-05
step 197  loss=5.4953  lr=5.00e-05
step 198  loss=5.3586  lr=5.00e-05
step 199  loss=5.4398  lr=5.00e-05
step 200  loss=5.3777  lr=5.00e-05
step 201  loss=5.2718  lr=5.00e-05
step 202  loss=5.1243  lr=5.00e-05
step 203  loss=5.1771  lr=5.00e-05
step 204  loss=5.2599  lr=5.00e-05
step 205  loss=5.1493  lr=5.00e-05
step 206  loss=5.2999  lr=5.00e-05
step 207  loss=5.2141  lr=5.00e-05
step 208  loss=5.2332  lr=5.00e-05
step 209  loss=5.4122  lr=5.00e-05
step 210  loss=5.2557  lr=5.00e-05
step 211  loss=4.9755  lr=5.00e-05
step 212  loss=5.2810  lr=5.00e-05
step 213  loss=5.1486  lr=5.00e-05
step 214  loss=5.0046  lr=5.00e-05
step 215  loss=5.1114  lr=5.00e-05
step 216  loss=5.2184  lr=5.00e-05
step 217  loss=5.0281  lr=5.00e-05
step 218  loss=5.2370  lr=5.00e-05
step 219  loss=5.0093  lr=5.00e-05
step 220  loss=5.0878  lr=5.00e-05
step 221  loss=5.1983  lr=5.00e-05
step 222  loss=5.3038  lr=5.00e-05
step 223  loss=4.8883  lr=5.00e-05
step 224  loss=5.0102  lr=5.00e-05
step 225  loss=4.9900  lr=5.00e-05
step 226  loss=5.0695  lr=5.00e-05
