device=cuda preset=baseline_real dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 161,972,192 (161.97M)
step 138  loss=5.1583  lr=5.00e-05
step 139  loss=5.1737  lr=5.00e-05
step 140  loss=5.4466  lr=5.00e-05
step 141  loss=5.1997  lr=5.00e-05
step 142  loss=5.2502  lr=5.00e-05
step 143  loss=5.1281  lr=5.00e-05
step 144  loss=5.1201  lr=5.00e-05
step 145  loss=5.0212  lr=5.00e-05
step 146  loss=5.3051  lr=5.00e-05
step 147  loss=5.1182  lr=5.00e-05
step 148  loss=5.2569  lr=5.00e-05
step 149  loss=5.1932  lr=5.00e-05
step 150  loss=5.1944  lr=5.00e-05
step 151  loss=5.3126  lr=5.00e-05
step 152  loss=4.9310  lr=5.00e-05
step 153  loss=5.0307  lr=5.00e-05
step 154  loss=5.0063  lr=5.00e-05
step 155  loss=5.1900  lr=5.00e-05
step 156  loss=4.8850  lr=5.00e-05
step 157  loss=4.8225  lr=5.00e-05
step 158  loss=4.9582  lr=5.00e-05
step 159  loss=5.0200  lr=5.00e-05
step 160  loss=4.8777  lr=5.00e-05
step 161  loss=4.6735  lr=5.00e-05
step 162  loss=4.7941  lr=5.00e-05
step 163  loss=4.9197  lr=5.00e-05
step 164  loss=4.9902  lr=5.00e-05
step 165  loss=4.5985  lr=5.00e-05
step 166  loss=4.5261  lr=5.00e-05
step 167  loss=4.8351  lr=5.00e-05
step 168  loss=4.9319  lr=5.00e-05
step 169  loss=4.6494  lr=5.00e-05
step 170  loss=4.8110  lr=5.00e-05
step 171  loss=4.6706  lr=5.00e-05
step 172  loss=4.7291  lr=5.00e-05
step 173  loss=4.6335  lr=5.00e-05
step 174  loss=4.6172  lr=5.00e-05
step 175  loss=4.8982  lr=5.00e-05
step 176  loss=4.6830  lr=5.00e-05
step 177  loss=4.6760  lr=5.00e-05
step 178  loss=4.9237  lr=5.00e-05
step 179  loss=4.4631  lr=5.00e-05
step 180  loss=4.6216  lr=5.00e-05
step 181  loss=4.9553  lr=5.00e-05
step 182  loss=4.5813  lr=5.00e-05
step 183  loss=4.5255  lr=5.00e-05
step 184  loss=4.6642  lr=5.00e-05
step 185  loss=4.8034  lr=5.00e-05
step 186  loss=4.6286  lr=5.00e-05
step 187  loss=4.6728  lr=5.00e-05
step 188  loss=4.8180  lr=5.00e-05
step 189  loss=4.7750  lr=5.00e-05
step 190  loss=4.3176  lr=5.00e-05
step 191  loss=4.5081  lr=5.00e-05
step 192  loss=4.4923  lr=5.00e-05
step 193  loss=4.4751  lr=5.00e-05
step 194  loss=4.5495  lr=5.00e-05
step 195  loss=4.8406  lr=5.00e-05
step 196  loss=4.6063  lr=5.00e-05
step 197  loss=4.6152  lr=5.00e-05
step 198  loss=4.6556  lr=5.00e-05
step 199  loss=4.3279  lr=5.00e-05
step 200  loss=4.4132  lr=5.00e-05
step 201  loss=4.4608  lr=5.00e-05
step 202  loss=4.6828  lr=5.00e-05
