[2026-03-13 12:01:22]   [6] 750/19277 (4%) loss=4.6881 ppl=108.6 div=3.58e-03 wdiv=2.86e-04 lr=8.52e-05 | 41535 tok/s (avg 32779) ETA 57m52s | GPU 0.5/11.0GB
[2026-03-13 12:01:30]   [6] 800/19277 (4%) loss=4.6775 ppl=107.5 div=3.67e-03 wdiv=2.93e-04 lr=8.52e-05 | 41575 tok/s (avg 33218) ETA 56m57s | GPU 0.5/11.0GB
[2026-03-13 12:01:37]   [6] 850/19277 (4%) loss=4.5219 ppl=92.0 div=3.87e-03 wdiv=3.09e-04 lr=8.52e-05 | 41594 tok/s (avg 33615) ETA 56m07s | GPU 0.5/11.0GB
[2026-03-13 12:01:45]   [6] 900/19277 (5%) loss=4.6251 ppl=102.0 div=3.65e-03 wdiv=2.92e-04 lr=8.51e-05 | 41603 tok/s (avg 33977) ETA 55m22s | GPU 0.5/11.0GB
[2026-03-13 12:01:52]   [6] 950/19277 (5%) loss=4.8843 ppl=132.2 div=3.65e-03 wdiv=2.91e-04 lr=8.51e-05 | 41585 tok/s (avg 34307) ETA 54m41s | GPU 0.5/11.0GB
[2026-03-13 12:01:59]   [6] 1000/19277 (5%) loss=4.7664 ppl=117.5 div=3.05e-03 wdiv=2.44e-04 lr=8.51e-05 | 41823 tok/s (avg 34618) ETA 54m03s | GPU 0.5/11.0GB
[2026-03-13 12:02:07]   [6] 1050/19277 (5%) loss=4.6553 ppl=105.1 div=3.33e-03 wdiv=2.65e-04 lr=8.51e-05 | 42056 tok/s (avg 34912) ETA 53m27s | GPU 0.5/11.0GB
[2026-03-13 12:02:14]   [6] 1100/19277 (6%) loss=4.3491 ppl=77.4 div=3.41e-03 wdiv=2.72e-04 lr=8.51e-05 | 41798 tok/s (avg 35175) ETA 52m54s | GPU 0.5/11.0GB
[2026-03-13 12:02:21]   [6] 1150/19277 (6%) loss=4.4040 ppl=81.8 div=4.02e-03 wdiv=3.21e-04 lr=8.51e-05 | 41601 tok/s (avg 35412) ETA 52m24s | GPU 0.5/11.0GB
[2026-03-13 12:02:28]   [6] 1200/19277 (6%) loss=4.3923 ppl=80.8 div=3.18e-03 wdiv=2.54e-04 lr=8.51e-05 | 43682 tok/s (avg 35694) ETA 51m51s | GPU 0.5/11.0GB
[2026-03-13 12:02:35]   [6] 1250/19277 (6%) loss=4.5392 ppl=93.6 div=3.38e-03 wdiv=2.70e-04 lr=8.50e-05 | 44316 tok/s (avg 35973) ETA 51m18s | GPU 0.5/11.0GB
